Year,City,Count
1979,at,6
1979,bo,6
1979,ch,6
1979,cl,6
1979,da,6
1979,kc,6
1979,mn,6
1979,ny,6
1979,ph,6
1979,ri,6
1979,sf,6
1979,sl,6
1980,at,8
1980,bo,8
1980,ch,8
1980,cl,8
1980,da,8
1980,kc,8
1980,mn,8
1980,ny,8
1980,ph,8
1980,ri,8
1980,sf,8
1980,sl,8
1981,at,8
1981,bo,7
1981,ch,8
1981,cl,8
1981,da,8
1981,kc,8
1981,mn,8
1981,ny,8
1981,ph,8
1981,ri,8
1981,sf,7
1981,sl,7
1982,at,8
1982,bo,8
1982,ch,8
1982,cl,8
1982,da,8
1982,kc,8
1982,mn,8
1982,ny,8
1982,ph,8
1982,ri,8
1982,sf,8
1982,sl,8
1983,at,8
1983,bo,8
1983,ch,8
1983,cl,8
1983,da,8
1983,kc,8
1983,mn,8
1983,ny,8
1983,ph,7
1983,ri,8
1983,sf,8
1983,sl,8
1984,at,8
1984,bo,8
1984,ch,8
1984,cl,8
1984,da,8
1984,kc,8
1984,mn,8
1984,ny,8
1984,ph,8
1984,ri,8
1984,sf,8
1984,sl,8
1985,at,8
1985,bo,8
1985,ch,8
1985,cl,8
1985,da,8
1985,kc,8
1985,mn,8
1985,ny,8
1985,ph,8
1985,ri,8
1985,sf,8
1985,sl,8
1986,at,8
1986,bo,8
1986,ch,8
1986,cl,8
1986,da,8
1986,kc,7
1986,mn,8
1986,ny,8
1986,ph,8
1986,ri,8
1986,sf,8
1986,sl,8
1987,at,8
1987,bo,8
1987,ch,8
1987,cl,8
1987,da,8
1987,kc,8
1987,mn,8
1987,ny,8
1987,ph,8
1987,ri,8
1987,sf,8
1987,sl,8
1988,at,8
1988,bo,7
1988,ch,8
1988,cl,8
1988,da,8
1988,kc,8
1988,mn,8
1988,ny,8
1988,ph,8
1988,ri,8
1988,sf,8
1988,sl,8
1989,at,8
1989,bo,8
1989,ch,8
1989,cl,8
1989,da,8
1989,kc,8
1989,mn,8
1989,ny,8
1989,ph,8
1989,ri,8
1989,sf,8
1989,sl,8
1990,at,8
1990,bo,8
1990,ch,8
1990,cl,8
1990,da,8
1990,kc,8
1990,mn,8
1990,ny,8
1990,ph,8
1990,ri,8
1990,sf,8
1990,sl,8
1991,at,8
1991,bo,8
1991,ch,8
1991,cl,8
1991,da,8
1991,kc,8
1991,mn,8
1991,ny,8
1991,ph,8
1991,ri,8
1991,sf,8
1991,sl,8
1992,at,8
1992,bo,8
1992,ch,8
1992,cl,8
1992,da,8
1992,kc,8
1992,mn,8
1992,ny,8
1992,ph,8
1992,ri,8
1992,sf,8
1992,sl,8
1993,at,8
1993,bo,8
1993,ch,8
1993,cl,8
1993,da,8
1993,kc,8
1993,mn,8
1993,ny,8
1993,ph,8
1993,ri,8
1993,sf,8
1993,sl,8
1994,at,8
1994,bo,8
1994,ch,8
1994,cl,8
1994,da,8
1994,kc,8
1994,mn,8
1994,ny,8
1994,ph,8
1994,ri,8
1994,sf,8
1994,sl,8
1995,at,8
1995,bo,8
1995,ch,8
1995,cl,8
1995,da,8
1995,kc,8
1995,mn,8
1995,ny,8
1995,ph,8
1995,ri,8
1995,sf,8
1995,sl,8
1996,at,8
1996,bo,8
1996,ch,8
1996,cl,8
1996,da,8
1996,kc,8
1996,mn,8
1996,ny,8
1996,ph,8
1996,ri,8
1996,sf,8
1996,sl,8
1997,at,8
1997,bo,8
1997,ch,8
1997,cl,8
1997,da,8
1997,kc,8
1997,mn,8
1997,ny,8
1997,ph,8
1997,ri,8
1997,sf,8
1997,sl,8
1998,at,8
1998,bo,8
1998,ch,8
1998,cl,8
1998,da,8
1998,kc,8
1998,mn,8
1998,ny,8
1998,ph,8
1998,ri,8
1998,sf,8
1998,sl,8
1999,at,8
1999,bo,8
1999,ch,8
1999,cl,8
1999,da,8
1999,kc,8
1999,mn,8
1999,ny,8
1999,ph,8
1999,ri,8
1999,sf,8
1999,sl,8
2000,at,8
2000,bo,8
2000,ch,8
2000,cl,8
2000,da,8
2000,kc,8
2000,mn,8
2000,ny,8
2000,ph,8
2000,ri,8
2000,sf,8
2000,sl,8
2001,at,8
2001,bo,8
2001,ch,8
2001,cl,8
2001,da,8
2001,kc,8
2001,mn,8
2001,ny,8
2001,ph,8
2001,ri,8
2001,sf,8
2001,sl,8
2002,at,8
2002,bo,8
2002,ch,8
2002,cl,8
2002,da,8
2002,kc,8
2002,mn,8
2002,ny,8
2002,ph,8
2002,ri,8
2002,sf,8
2002,sl,8
2003,at,8
2003,bo,8
2003,ch,8
2003,cl,8
2003,da,8
2003,kc,8
2003,mn,8
2003,ny,8
2003,ph,8
2003,ri,8
2003,sf,8
2003,sl,8
2004,at,8
2004,bo,8
2004,ch,8
2004,cl,8
2004,da,8
2004,kc,8
2004,mn,8
2004,ny,8
2004,ph,8
2004,ri,8
2004,sf,8
2004,sl,8
2005,at,8
2005,bo,8
2005,ch,8
2005,cl,8
2005,da,8
2005,kc,8
2005,mn,8
2005,ny,8
2005,ph,8
2005,ri,8
2005,sf,8
2005,sl,8
2006,at,8
2006,bo,8
2006,ch,8
2006,cl,8
2006,da,8
2006,kc,8
2006,mn,8
2006,ny,8
2006,ph,8
2006,ri,8
2006,sf,8
2006,sl,8
2007,at,8
2007,bo,8
2007,ch,8
2007,cl,8
2007,da,8
2007,kc,8
2007,mn,8
2007,ny,8
2007,ph,8
2007,ri,8
2007,sf,8
2007,sl,8
2008,at,8
2008,bo,8
2008,ch,8
2008,cl,8
2008,da,8
2008,kc,8
2008,mn,8
2008,ny,8
2008,ph,8
2008,ri,8
2008,sf,8
2008,sl,8
2009,at,8
2009,bo,8
2009,ch,8
2009,cl,8
2009,da,8
2009,kc,8
2009,mn,8
2009,ny,8
2009,ph,8
2009,ri,8
2009,sf,8
2009,sl,8
2010,at,8
2010,bo,8
2010,ch,8
2010,cl,8
2010,da,8
2010,kc,8
2010,mn,8
2010,ny,8
2010,ph,8
2010,ri,8
2010,sf,8
2010,sl,8
2011,at,8
2011,bo,8
2011,ch,8
2011,cl,8
2011,da,8
2011,kc,8
2011,mn,8
2011,ny,8
2011,ph,8
2011,ri,8
2011,sf,8
2011,sl,8
2012,at,8
2012,bo,8
2012,ch,8
2012,cl,8
2012,da,8
2012,kc,8
2012,mn,8
2012,ny,8
2012,ph,8
2012,ri,8
2012,sf,8
2012,sl,8
2013,at,8
2013,bo,8
2013,ch,8
2013,cl,8
2013,da,8
2013,kc,8
2013,mn,8
2013,ny,8
2013,ph,8
2013,ri,8
2013,sf,8
2013,sl,8
2014,at,8
2014,bo,8
2014,ch,8
2014,cl,8
2014,da,8
2014,kc,8
2014,mn,8
2014,ny,8
2014,ph,8
2014,ri,8
2014,sf,8
2014,sl,8
2015,at,8
2015,bo,8
2015,ch,8
2015,cl,8
2015,da,8
2015,kc,8
2015,mn,8
2015,ny,8
2015,ph,8
2015,ri,8
2015,sf,8
2015,sl,8
2016,at,8
2016,bo,8
2016,ch,8
2016,cl,8
2016,da,8
2016,kc,8
2016,mn,8
2016,ny,8
2016,ph,8
2016,ri,8
2016,sf,8
2016,sl,8
2017,at,8
2017,bo,8
2017,ch,8
2017,cl,8
2017,da,8
2017,kc,8
2017,mn,8
2017,ny,8
2017,ph,8
2017,ri,8
2017,sf,8
2017,sl,8
2018,at,8
2018,bo,8
2018,ch,8
2018,cl,8
2018,da,8
2018,kc,8
2018,mn,8
2018,ny,8
2018,ph,8
2018,ri,8
2018,sf,8
2018,sl,8
2019,at,8
2019,bo,8
2019,ch,8
2019,cl,8
2019,da,8
2019,kc,8
2019,mn,8
2019,ny,8
2019,ph,8
2019,ri,8
2019,sf,8
2019,sl,8
2020,at,8
2020,bo,8
2020,ch,8
2020,cl,8
2020,da,8
2020,kc,8
2020,mn,8
2020,ny,8
2020,ph,8
2020,ri,8
2020,sf,8
2020,sl,8
2021,at,8
2021,bo,8
2021,ch,8
2021,cl,8
2021,da,8
2021,kc,8
2021,mn,8
2021,ny,8
2021,ph,8
2021,ri,8
2021,sf,8
2021,sl,8
2022,at,8
2022,bo,8
2022,ch,8
2022,cl,8
2022,da,8
2022,kc,8
2022,mn,8
2022,ny,8
2022,ph,8
2022,ri,8
2022,sf,8
2022,sl,8
2023,at,4
2023,bo,4
2023,ch,4
2023,cl,4
2023,da,4
2023,kc,4
2023,mn,4
2023,ny,4
2023,ph,4
2023,ri,4
2023,sf,4
2023,sl,4
